date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:46	167875/167875	---MCZ	200	added ('OK')	text/html	etag:W/%22fa03beafa7578cf8b72f9849449c9357%22	https://vineethack.vercel.app/minesnew/Mines.html	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines.html	(from )
15:32:46	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Oct%202025%2012:32:45%20GMT	https://vineethack.vercel.app/robots.txt		(from )
15:32:47	14371/14371	---MCZ	200	added ('OK')	text/css	etag:W/%2254cdc62044e37d9d576355b7d2a3582e%22	https://vineethack.vercel.app/minesnew/Mines_files/onewinTheme.F-k6a.css	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/onewinTheme.F-k6a.css	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:47	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Oct%202025%2012:32:47%20GMT	https://vineethack.vercel.app/minesnew/Mines_files/style.F-k6a.css	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/style.F-k6a.2.delayed	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:48	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Oct%202025%2012:32:47%20GMT	https://vineethack.vercel.app/minesnew/Mines_files/main.6dec43056a374f49c836.js	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/main.6dec43056a374f49c836.3.delayed	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:49	109500/109500	---M--	200	added ('OK')	font/woff2	etag:%22728a6fb342d6756e4d46111039a4f201%22	https://vineethack.vercel.app/minesnew/Mines_files/ab564c2dbbe039da8cb5.woff2	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/ab564c2dbbe039da8cb5.woff2	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:49	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Oct%202025%2012:32:48%20GMT	https://vineethack.vercel.app/minesnew/Mines_files/mirage2.min.js	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/mirage2.min.5.delayed	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:49	4125/4125	---M--	200	added ('OK')	image/png	etag:%2254309179fc62dcb7abe32280820a4758%22	https://vineethack.vercel.app/minesnew/Mines_files/logo.png	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/logo.png	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:50	1748/1748	---M--	200	added ('OK')	image/png	etag:%22bdf6528c06cfb9c26b73b406c0726bdb%22	https://vineethack.vercel.app/minesnew/Mines_files/header-logo-game.png	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/header-logo-game.png	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:51	1790/1790	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227907816c425eefaa2b27ff0f678e741f%22	https://vineethack.vercel.app/minesnew/Mines_files/cover.svg	D:/newmines/newmines/vineethack.vercel.app/minesnew/Mines_files/cover.svg	(from https://vineethack.vercel.app/minesnew/Mines.html)
15:32:51	152443/152443	---MCZ	200	added ('OK')	application/javascript	etag:W/%2282ce806613ab763e7ab0ee0d3098891b%22	https://vineethack.vercel.app/minesnew/script.js	D:/newmines/newmines/vineethack.vercel.app/minesnew/script.js	(from https://vineethack.vercel.app/minesnew/Mines.html)
